std,preprod,prod
std22108,2,2
std22106,0,0
std22029,2,2
std22107,0,0
std22027,0,0
std22104,0,0
std22105,2,0
std22028,2,0
std22069,2,2
std22025,2,2
std22103,2,2
std22026,0,0
std21092,2,0
std22100,0,2
std21099,2,2
std22023,0,0
std22101,0,0
std22068,2,2
std22065,2,2
std22022,0,0
std22064,0,0
std22062,0,0
std22019,0,0
std22016,0,0
std22017,2,2
std22058,2,2
std22093,2,2
std22056,2,0
std22013,0,0
std21089,0,0
std22098,2,2
std22054,0,0
std22052,2,2
std21084,0,0
std22050,0,0
std22095,2,0
std22007,2,2
std22049,2,2
std22005,2,2
std22047,2,2
std22048,2,2
std22081,2,2
std22082,2,2
std22080,2,0
std22089,2,2
std22045,0,0
std22001,2,2
std22046,0,0
std22087,2,2
std22043,2,2
std22044,0,0
std22085,0,0
std22086,0,0
std22083,2,2
std22119,2,2
std22038,2,2
std22113,0,0
std22036,2,2
std22037,0,0
std22070,2,2
std22078,0,0
std22079,2,2
std22076,0,0
std22033,2,2
std22074,0,0
std22075,2,0
std21060,2,2
std2019,2,2
tcr21001,0,0
std22073,2,2
